12.09.;Datenerhebung Louisa;;;
from;to;relationship;year;
bope200;dape300;2;2018;
phlo200;dape300;2;2018;
chmi200;dape300;2;2018;
thliofot100;flhevo200;1;2006;
thliofot100;gaya300;1;2006;
flhevo200;gaya300;2;2006;
subo100;biwi200;1;1950;
subo100;frwa300;1;1950;
biwi200;frwa300;2;1950;
wifothpr100;biwi200;1;1957;
wifothpr100;mama300;1;1957;
biwi200;mama300;2;1957;
paofgl100;stku200;1;1957;
paofgl100;gefr300;1;1957;
stku200;gefr300;2;1957;
thsh100;weca300;1;1980;
thsh100;stku200;1;1980;
stku200;weca300;2;1980;
thgrdi100;chch200;1;1940;
inba100;quta200;1;2009;
al2100;jaho300;1;1986;
al2100;jaca200;1;1986;
jaca200;jaho300;2;1986;
12fa100;vivich200;1;2023;
12fa100;shmo300;1;2023;
vivich200;shmo300;2;2023;
inthvaofel100;paha200;1;2007;
inthvaofel100;mais300;1;2007;
paha200;mais300;2;2007;
aven100;ant200;1;2019;
aven100;joe200;1;2019;
aven100;alsi300;1;2019;
ant200;alsi300;2;2019;
joe200;alsi300;2;2019;
gowihu100;guvasa200;1;1997;
gowihu100;dael300;1;1997;
guvasa200;dael300;2;1997;
co100;leun200;1;2017;
co100;admo200;1;2017;
co100;migi300;1;2017;
leun200;migi300;2;2017;
admo200;migi300;2;2017;
thdaknri100;chno200;1;2012;
thdaknri100;hazi300;1;2012;
chno200;hazi300;2;2012;
tost100;jola200;1;1995;
tost100;rane300;1;1995;
jola200;rane300;2;1995;
am100;Milfor200;1;1984;
yona100;mash200;1;2016;
yona100;ra300;1;2016;
mash200;ra300;2;2016;
dabo100;wope200;1;1981;
dabo100;kldo300;1;1981;
wope200;kldo300;2;1981;
br100;megi200;1;1995;
br100;jaho300;1;1995;
megi200;jaho300;2;1995;
prmo100;hami200;1;1997;
prmo100;johi300;1;1997;
hami200;johi300;2;1997;
ol100;pachwo200;1;2003;
ol100;joyewo300;1;2003;
pachwo200;joyewo300;2;2003;
3id100;rahi200;1;2009;
3id100;shmo300;1;2009;
rahi200;shmo300;2;2009;
drstorhoilet100;lajo300;1;1964;
drstorhoilet100;stku200;1;1964;
stku200;lajo300;2;1964;
ambe100;same200;1;1999;
ambe100;thne300;1;1999;
same200;thne300;2;1999;
ca2100;nala200;1;2018;
ca2100;khmo300;1;2018;
nala200;khmo300;2;2018;
siinthra100;stdo200;1;1952;
siinthra100;geke200;1;1952;
siinthra100;nahebr300;1;1952;
stdo200;nahebr300;2;1952;
geke200;nahebr300;2;1952;
onupatiinam100;sele200;1;1984;
onupatiinam100;enmo300;1;1984;
sele200;enmo300;2;1984;
jo100;toph200;1;2019;
jo100;higu300;1;2019;
toph200;higu300;2;2019;
tost3100;leun200;1;2010;
tost3100;rane300;1;2010;
leun200;rane300;2;2010;
stwaepvireof100;rima200;1;1983;
stwaepvireof100;jowi300;1;1983;
rima200;jowi300;2;1983;
coanse100;elkl200;1;1985;
coanse100;olya300;1;1985;
elkl200;olya300;2;1985;
refoadr100;daar200;1;2000;
refoadr100;clma300;1;2000;
daar200;clma300;2;2000;
ik100;akku200;1;1952;
ik100;fuha300;1;1952;
akku200;fuha300;2;1952;
thhu100;thvi200;1;2012;
thhu100;nieg300;1;2012;
thvi200;nieg300;2;2012;
in3100;grhe300;1;2010;
in3100;devi200;1;2010;
devi200;grhe300;2;2010;
